Source:,/home/mpt/Documentos/Projetos/sisdig/1.3-laboratorio/projetos/dado-digital/dado-digital-completo/kicad/dd_cmos/DD_CMOS.sch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,qua 02 fev 2022 23:22:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tool:,Eeschema 5.1.12-84ad8e8a86~92~ubuntu20.04.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component Count:,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,,LibPart,Footprint,Datasheet,Bits,Code  JEDEC,Component Link 1 Description,Component Link 1 URL,Component Link 3 Description,Component Link 3 URL,Datasheet Version,F  Nom VoltageMaxMhz,ICC  Nom VoltageMaxmA,Input Type,Mounting Technology,Observação,Operating Temperature RangeC,Output Drive IOLIOHMaxmA,Output Type,Package Description,Package Version,Rating,Sub Family,Technology Family,VCC Max V,VCC Min V,Vin Max V,Vin Min V,Voltage Nom V,category,ciiva ids,imported,library id,manufacturer,package,release date,rohs,tpd  Nom VoltageMaxns,vault revision
,,.1,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.2,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.3,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.4,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.5,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.6,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.7,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.8,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.9,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.10,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.11,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.12,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.13,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.14,220R,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C1,1uF/16V,,Device:CP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C2,10uF/16V,,Device:CP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C3,10nF,,DD_CMOS-rescue:C,,,,,,,,,,,,,,Do 4093,,,,,,,,,,,,,,,,,,,,,,,
,,C4,10nF,,DD_CMOS-rescue:C,,,,,,,,,,,,,,Do 4027,,,,,,,,,,,,,,,,,,,,,,,
,,C5,10nF,,DD_CMOS-rescue:C,,,,,,,,,,,,,,Do 4518,,,,,,,,,,,,,,,,,,,,,,,
,,C6,10nF,,DD_CMOS-rescue:C,,,,,,,,,,,,,,Do 4511,,,,,,,,,,,,,,,,,,,,,,,
,,C7,10nF,,DD_CMOS-rescue:C,,,,,,,,,,,,,,Do 4511,,,,,,,,,,,,,,,,,,,,,,,
,,C8,10nF,,DD_CMOS-rescue:C,,,,,,,,,,,,,,Do 4585,,,,,,,,,,,,,,,,,,,,,,,
,,C9,1uF/16V,,Device:CP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C10,10nF,,DD_CMOS-rescue:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D1,1N4148,,DD_CMOS-rescue:D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D2,Verde,,Device:LED_ALT,,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,CONN_01X02,,DD_CMOS-rescue:CONN_01X02,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P2,CONN_01X02,,DD_CMOS-rescue:CONN_01X02,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P4,CONN_01X02,,DD_CMOS-rescue:CONN_01X02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q1,BC547,,DD_CMOS-rescue:BC549,TO-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R1,10k,,DD_CMOS-rescue:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
