"Source:","/home/mpt/Documentos/Projetos/sisdig/1.3-laboratorio/projetos/deslocamento-de-leds-alternativo/deslocamento-de-leds-alternativo.sch"
"Date:","qua 13 out 2021 16:36:50"
"Tool:","Eeschema 5.1.10-88a1d61d58~90~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","18"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100nF","Device:C","","~"
"","","C2","100nF","Device:C","","~"
"","","C3","100nF","Device:C","","~"
"","","C4","100nF","Device:C","","~"
"","","D1","VD","Device:LED_ALT","","~"
"","","D2","VD","Device:LED_ALT","","~"
"","","D3","VD","Device:LED_ALT","","~"
"","","D4","VD","Device:LED_ALT","","~"
"","","D5","VD","Device:LED_ALT","","~"
"","","D6","VD","Device:LED_ALT","","~"
"","","R1","1M","Device:R","","~"
"","","R2","1M","Device:R","","~"
"","","R3","1M","Device:R","","~"
"","","R4","220R","Device:R","","~"
"","","R5","220R","Device:R","","~"
"","","R6","220R","Device:R","","~"
"","","U1","4093B","4xxx:HEF4093B","","https://assets.nexperia.com/documents/data-sheet/HEF4093B.pdf"
"","","V1","5V","Pessoal:fonte_tensao","","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","4","C1, C2, C3, C4","100nF","Device:C","","~"
"2","6","D1, D2, D3, D4, D5, D6","VD","Device:LED_ALT","","~"
"3","3","R1, R2, R3","1M","Device:R","","~"
"4","3","R4, R5, R6","220R","Device:R","","~"
"5","1","U1","4093B","4xxx:HEF4093B","","https://assets.nexperia.com/documents/data-sheet/HEF4093B.pdf"
"6","1","V1","5V","Pessoal:fonte_tensao","","~"
